Gene_ID,Genebank
gene1552,100701646
gene1553,100694511
gene1555,100701920
gene1557,100702187
gene1558,100694779
gene1559,100695038
gene1561,109203078
gene1563,100702458
gene1564,100702727
gene1565,100695748
gene1566,100702995
gene1568,100703269
gene1569,100694047
gene1570,100699821
gene1571,100693776
gene1572,100693515
gene1573,100693239
gene1574,102079335
gene1575,100692970
gene1578,100692426
gene1580,100699556
gene1581,100699284
gene1582,100691889
gene1583,100691621
gene1584,100699015
gene1586,100691349
gene1588,100698744
gene1589,100690817
gene1590,100698474
gene1591,100690543
gene1592,100690275
gene1593,100698211
gene1595,102081116
gene1596,100690008
gene1597,100689739
gene1598,100697939
gene1599,100697676
gene1600,102081693
gene1602,100712359
gene1603,102082083
gene1606,100697410
gene1607,100697140
gene1608,100712093
gene1609,100696346
gene1610,100696875
gene1611,100696080
gene1612,100695822
gene1613,106098085
gene1615,100695292
gene1616,100695022
gene1617,100711826
gene1618,100694765
gene1619,100694497
gene1620,100694231
gene1621,100693957
gene1623,100711558
gene1624,100711287
gene1625,100693688
gene1627,100693427
gene1628,100693153
gene1629,100711022
gene1630,100710753
gene1631,100692879
gene1632,100692610
gene1633,100692338
gene1636,100710485
gene1637,100691888
gene1638,100710228
gene1639,109203905
gene1641,100709961
gene1643,106098086
gene1645,100709689
gene1647,100709417
gene1648,100691620
gene1649,100691348
gene1650,100709150
gene1652,100708696
gene1653,100708422
gene1654,109203092
gene1656,100690816
gene1658,109203916
gene1659,109203917
gene1660,100534557
gene1661,100708153
gene1662,100707883
gene1663,100707610
gene1664,100697862
gene1665,100707075
gene1667,100697591
gene1668,100697328
gene1669,100697054
gene1670,100706810
gene1671,100696788
gene1672,100696521
gene1673,100706539
gene1674,100706271
gene1676,100696081
gene1677,100706008
gene1678,100705748
gene1679,100695823
gene1680,100695556
gene1683,100695293
gene1685,109203941
gene1688,100705485
gene1689,100705216
gene1690,100704952
gene1691,100704680
gene1692,100695023
gene1693,100694587
gene1694,100694320
gene1695,100704413
gene1696,100704147
gene1697,100703876
gene1698,100703604
gene1699,100703331
gene1701,109203174
gene1702,100703060
gene1703,109204052
gene1704,102076285
gene1705,102077789
gene1706,100702525
gene1707,100702256
gene1708,100701719
gene1709,106098093
gene1710,112847848
gene1711,100701447
gene1712,100696610
gene1713,106098094
gene1714,102078277
gene1715,100701177
gene1716,100700898
gene1717,109203179
gene1719,109203180
gene1720,112842468
gene1721,102076610
gene1722,100691079
gene1723,102076764
gene1724,102078651
gene1725,102076936
gene1726,109203182
gene1727,109203185
gene1728,109204103
gene1729,109203096
gene1730,100695534
gene1731,106098089
gene1732,112841687
gene1733,109204106
gene1734,100700087
gene1736,102079056
gene1737,102079247
gene1738,109194339
gene1739,109204115
gene1742,102082195
gene1746,102078017
gene1747,109203570
gene1748,102078201
gene1750,100690517
gene1751,102077697
gene1752,106097354
gene1753,100690791
gene1755,112842367
gene1756,106097358
gene1757,109203582
gene1758,106097350
gene1759,109202991
gene1761,106097356
gene1762,102077845
gene1763,106097357
gene1764,109203589
gene1765,109203601
gene1769,100702355
gene1770,100702625
gene1771,102079338
gene1773,100702894
gene1774,109203481
gene1775,100703432
gene1776,109203508
gene1777,102081269
gene1779,100704787
gene1780,100705057
gene1781,100705321
gene1783,100710845
gene1784,100705588
gene1785,100711108
gene1786,100705850
gene1787,100706117
gene1789,100711377
gene1790,100711650
gene1791,100706648
gene1794,100706919
gene1796,109194467
gene1797,109203547
gene1799,102082698
gene1800,100711921
gene1801,100707446
gene1802,100707715
gene1803,100707986
gene1804,100708256
gene1805,100708523
gene1806,100708792
gene1807,100712369
gene1808,100689748
gene1811,100709061
gene1812,109203565
gene1813,100709332
gene1815,100709600
gene1816,109194220
gene1817,112848004
gene1820,112842374
gene1821,100709872
gene1822,100710139
gene1823,100710399
gene1824,100710663
gene1825,100710928
gene1826,100690191
gene1827,100711194
gene1828,100690460
gene1829,100711467
gene1830,100711741
gene1832,109204157
gene1833,109204152
gene1834,100712010
gene1835,100690734
gene1836,100691183
gene1838,100712278
gene1841,100691452
gene1842,100712544
gene1843,100691719
gene1844,100691989
gene1845,100689927
gene1846,100692256
gene1848,100692976
gene1849,100692526
gene1850,100693245
gene1851,100693520
gene1852,100690192
gene1853,100693782
gene1854,100690461
gene1855,100694053
gene1856,100694326
gene1857,100694593
gene1858,100694858
gene1859,100690735
gene1860,100691001
gene1861,102082320
gene1862,106098248
gene1863,100691265
gene1864,100691534
gene1865,100691804
gene1867,100692074
gene1868,100692346
gene1869,100692619
gene1870,100695124
gene1871,100695391
gene1872,102076091
gene1874,100701725
gene1875,100701999
gene1876,100695652
gene1877,100695920
gene1878,100696179
gene1879,100702263
gene1880,100702532
gene1881,100702800
gene1882,100696447
gene1883,100703066
gene1884,100696714
gene1885,100703337
gene1886,102082922
gene1887,100696980
gene1888,106098249
gene1889,100703610
gene1890,100703882
gene1891,100704152
gene1892,100697249
gene1893,100704418
gene1894,100704685
gene1897,100697514
gene1898,112841682
gene1899,109204227
gene1900,100698316
gene1901,100704957
gene1902,100705222
gene1903,100705491
gene1904,100698575
gene1905,100705754
gene1906,100706013
gene1907,100706275
gene1908,100698848
gene1909,100706544
gene1910,100699472
gene1911,100706815
gene1912,100707080
gene1915,100707351
gene1917,100707615
gene1918,100699922
gene1919,100700190
gene1920,100707889
gene1922,100700466
gene1923,100700733
gene1924,100708159
gene1925,100694681
gene1926,112848126
gene1927,102083311
gene1928,100694411
gene1930,100694142
gene1931,100693868
gene1932,100693607
gene1933,100693339
gene1934,100692886
gene1935,102076425
gene1936,100707350
gene1938,100692616
gene1939,100707079
gene1940,100692344
gene1941,100706814
gene1942,100706543
gene1944,100692071
gene1945,100691801
gene1946,100691532
gene1947,100706012
gene1953,100705753
gene1954,102078237
gene1955,100691263
gene1956,100690999
gene1957,102078498
gene1958,100690732
gene1959,100705221
gene1960,100704956
gene1961,106098186
gene1962,100690458
gene1963,100690190
gene1964,100704417
gene1965,100704151
gene1967,102079965
gene1968,100703881
gene1969,100689926
gene1970,102081498
gene1971,100712543
gene1972,100712277
gene1976,100703609
gene1977,102080549
gene1979,100703336
gene1980,100703065
gene1981,102082053
gene1982,100702799
gene1983,100712009
gene1984,100702531
gene1985,100702262
gene1986,100701998
gene1987,100711740
gene1989,100701452
gene1990,100701181
gene1991,102083219
gene1992,100700902
gene1993,100700639
gene1994,100700364
gene1995,100700092
gene1996,100699826
gene1997,100711466
gene1998,100699561
gene1999,102076456
gene2000,100711026
gene2001,100699289
gene2002,100699020
gene2003,109204524
gene2004,100710757
gene2005,106098187
gene2006,100698749
gene2007,100698479
gene2008,100698216
gene2010,100710232
gene2011,100709965
gene2013,100709693
gene2015,102078279
gene2016,100697944
gene2018,100697681
gene2019,112848221
gene2020,100697415
gene2021,100709421
gene2022,100709154
gene2023,100697146
gene2024,100696880
gene2025,112848227
gene2026,100708615
gene2027,100696615
gene2028,100696351
gene2029,100696086
gene2030,102079931
gene2031,100695828
gene2032,102080107
gene2036,100708342
gene2037,100695561
gene2038,100707714
gene2039,100707444
gene2040,100707179
gene2041,102080852
gene2042,100695298
gene2043,102081210
gene2044,100695029
gene2045,100706917
gene2046,100694771
gene2047,100694238
gene2048,100706646
gene2049,100693963
gene2050,100706378
gene2051,100693694
gene2052,100693433
gene2053,100693158
gene2055,100692617
gene2056,100692345
gene2057,102083167
gene2058,102083220
gene2059,100692072
gene2060,100691802
gene2061,100691354
gene2062,102076123
gene2063,100706115
gene2064,100705848
gene2065,100691085
gene2066,102076832
gene2067,100690822
gene2068,102076938
gene2069,100705586
gene2070,102079118
gene2071,100705319
gene2072,100690548
gene2073,100690280
gene2074,100705055
gene2075,100690013
gene2076,102077791
gene2077,100689744
gene2078,100712364
gene2079,100712098
gene2080,106098191
gene2082,100711831
gene2083,100711292
gene2085,100711027
gene2086,112842395
gene2087,102079397
gene2088,102079302
gene2089,112842434
gene2090,112842431
gene2091,109202951
gene2092,112842439
gene2093,112842423
gene2094,112842424
gene2096,100704785
gene2097,112842411
gene2099,109203098
gene2100,112842421
gene2101,102082177
gene2102,109204698
gene2103,102079213
gene2104,112842427
gene2105,100702446
gene2106,112842428
gene2107,112842430
gene2109,102079396
gene2110,100700554
gene2113,100704516
gene2114,100703880
gene2115,100703608
gene2117,100700276
gene2118,100700004
gene2119,100703335
gene2120,100699740
gene2121,100699470
gene2122,100699200
gene2123,100708886
gene2124,100698936
gene2125,106098214
gene2126,109204746
gene2127,100708426
gene2128,100708157
gene2129,102082199
gene2130,100707887
gene2131,100707614
gene2132,100698666
gene2133,100705490
gene2134,100698400
gene2135,100701724
gene2136,102080103
gene2137,100694395
gene2138,102079518
gene2139,100698134
gene2140,100697868
gene2141,100697597
gene2142,100694503
gene2143,100697059
gene2144,100697333
gene2145,100696793
gene2146,100696527
gene2147,109204810
gene2148,102077186
gene2149,102076833
gene2150,100696263
gene2153,112848336
gene2154,102077338
gene2156,102077425
gene2158,109204800
gene2159,109204802
gene2160,109202952
gene2161,106098197
gene2162,106098212
gene2163,102075817
gene2164,109204797
gene2165,109204804
gene2166,112848334
gene2168,100695213
